TERYT;Wojewodztwo;Powiat;Gmina;Rodzaj gminy;Nazwa;Nazwa typu jednostki;Stan na
0200000;02;00;00;0;DOLNOŚLĄSKIE;województwo;2010-01-01
0201000;02;01;00;0;bolesławiecki;powiat;2010-01-01
0201011;02;01;01;1;Bolesławiec;gmina miejska;2010-01-01
0201022;02;01;02;2;Bolesławiec;gmina wiejska;2010-01-01
0201032;02;01;03;2;Gromadka;gmina wiejska;2010-01-01
0201043;02;01;04;3;Nowogrodziec;gmina miejsko-wiejska;2010-01-01
0201044;02;01;04;4;Nowogrodziec;miasto;2010-01-01
0201045;02;01;04;5;Nowogrodziec;obszar wiejski;2010-01-01
0201052;02;01;05;2;Osiecznica;gmina wiejska;2010-01-01
0201062;02;01;06;2;Warta Bolesławiecka;gmina wiejska;2010-01-01
0202000;02;02;00;0;dzierżoniowski;powiat;2010-01-01
0202011;02;02;01;1;Bielawa;gmina miejska;2010-01-01
0202021;02;02;02;1;Dzierżoniów;gmina miejska;2010-01-01
0202031;02;02;03;1;Pieszyce;gmina miejska;2010-01-01
0202041;02;02;04;1;Piława Górna;gmina miejska;2010-01-01
0202052;02;02;05;2;Dzierżoniów;gmina wiejska;2010-01-01
0202062;02;02;06;2;Łagiewniki;gmina wiejska;2010-01-01
0202073;02;02;07;3;Niemcza;gmina miejsko-wiejska;2010-01-01
0202074;02;02;07;4;Niemcza;miasto;2010-01-01
0202075;02;02;07;5;Niemcza;obszar wiejski;2010-01-01
0203000;02;03;00;0;głogowski;powiat;2010-01-01
0203011;02;03;01;1;Głogów;gmina miejska;2010-01-01
0203022;02;03;02;2;Głogów;gmina wiejska;2010-01-01
0203032;02;03;03;2;Jerzmanowa;gmina wiejska;2010-01-01
0203042;02;03;04;2;Kotla;gmina wiejska;2010-01-01
0203052;02;03;05;2;Pęcław;gmina wiejska;2010-01-01
0203062;02;03;06;2;Żukowice;gmina wiejska;2010-01-01
0204000;02;04;00;0;górowski;powiat;2010-01-01
0204013;02;04;01;3;Góra;gmina miejsko-wiejska;2010-01-01
0204014;02;04;01;4;Góra;miasto;2010-01-01
0204015;02;04;01;5;Góra;obszar wiejski;2010-01-01
0204022;02;04;02;2;Jemielno;gmina wiejska;2010-01-01
0204032;02;04;03;2;Niechlów;gmina wiejska;2010-01-01
0204043;02;04;04;3;Wąsosz;gmina miejsko-wiejska;2010-01-01
0204044;02;04;04;4;Wąsosz;miasto;2010-01-01
0204045;02;04;04;5;Wąsosz;obszar wiejski;2010-01-01
0205000;02;05;00;0;jaworski;powiat;2010-01-01
0205011;02;05;01;1;Jawor;gmina miejska;2010-01-01
0205023;02;05;02;3;Bolków;gmina miejsko-wiejska;2010-01-01
0205024;02;05;02;4;Bolków;miasto;2010-01-01
0205025;02;05;02;5;Bolków;obszar wiejski;2010-01-01
0205032;02;05;03;2;Męcinka;gmina wiejska;2010-01-01
