NAZWA;WK;PK;GK;GT;PT;Typ jednostki;Podtyp jednostki;Kod GUS;Kod MSWiA;Data od;Data do;Miejscowosc;Kod pocztowy;Adres
dolnoúlπskie;02;00;00;0;0;WojewÛdztwo;;0200000;;1999-01-01;;Wroc≥aw;50-411;Wybrzeøe S≥owackiego 12
boles≥awiecki;02;01;00;0;1;Powiat;;0201000;;1999-01-01;;BOLES£AWIEC;59-700;pl.Marsz.J.Pi≥sudskiego 2
BOLES£AWIEC;02;01;01;1;0;Gmina;Gmina miejska;0201011;;1994-01-01;;BOLES£AWIEC;59-700;Rynek 41
BOLES£AWIEC;02;01;02;2;0;Gmina;Gmina wiejska;0201022;;1994-01-01;;BOLES£AWIEC;59-700;ul.Teatralna 1 a
GROMADKA;02;01;03;2;0;Gmina;Gmina wiejska;0201032;;1994-01-01;;GROMADKA;59-706;ul.Gen. W. Sikorskiego 9
NOWOGRODZIEC;02;01;04;3;0;Gmina;Gmina miejsko-wiejska;0201043;;1994-01-01;;NOWOGRODZIEC;59-730;Rynek 1
OSIECZNICA;02;01;05;2;0;Gmina;Gmina wiejska;0201052;;1994-01-01;;OSIECZNICA;59-724;ul.LubaÒska 43
WARTA BOLES£AWIECKA;02;01;06;2;0;Gmina;Gmina wiejska;0201062;;1994-01-01;;WARTA BOLES£AWIECKA;59-722;Warta Boles≥awiecka 40c
dzierøoniowski;02;02;00;0;1;Powiat;;0202000;;1999-01-01;;DZIERØONI”W;58-200;ul.Rynek 27
BIELAWA;02;02;01;1;0;Gmina;Gmina miejska;0202011;;1994-01-01;;BIELAWA;58-260;Pl.Wolnoúci 1
DZIERØONI”W;02;02;02;1;0;Gmina;Gmina miejska;0202021;;1994-01-01;;DZIERØONI”W;58-200;Rynek 1
PIESZYCE;02;02;03;1;0;Gmina;Gmina miejska;0202031;;1994-01-01;;PIESZYCE;58-250;ul.Koúciuszki 2
PI£AWA G”RNA;02;02;04;1;0;Gmina;Gmina miejska;0202041;;1994-01-01;;PI£AWA G”RNA;58-240;ul.Piastowska 29
DZIERØONI”W;02;02;05;2;0;Gmina;Gmina wiejska;0202052;;1994-01-01;;DZIERØONI”W;58-200;ul.Szkolna 14
£AGIEWNIKI;02;02;06;2;0;Gmina;Gmina wiejska;0202062;;1994-01-01;;£AGIEWNIKI;58-210;ul.Jednoúci Narodowej 21
NIEMCZA;02;02;07;3;0;Gmina;Gmina miejsko-wiejska;0202073;;1994-01-01;;NIEMCZA;58-230;Rynek 10
g≥ogowski;02;03;00;0;1;Powiat;;0203000;;1999-01-01;;G£OG”W;67-200;ul.Sikorskiego 21
G£OG”W;02;03;01;1;0;Gmina;Gmina miejska;0203011;;1994-01-01;;G£OG”W;67-200;ul.Rynek 10
G£OG”W;02;03;02;2;0;Gmina;Gmina wiejska;0203022;;1994-01-01;;G£OG”W;67-200;ul. S≥odowa 2b
JERZMANOWA;02;03;03;2;0;Gmina;Gmina wiejska;0203032;;1994-01-01;;JERZMANOWA;67-222;ul.G≥ogowska 7
KOTLA;02;03;04;2;0;Gmina;Gmina wiejska;0203042;;1994-01-01;;KOTLA;67-240;Kotla 28
P C£AW;02;03;05;2;0;Gmina;Gmina wiejska;0203052;;1994-01-01;;P C£AW;67-221;PÍc≥aw 28
ØUKOWICE;02;03;06;2;0;Gmina;Gmina wiejska;0203062;;1994-01-01;;ØUKOWICE;67-231;Øukowice
gÛrowski;02;04;00;0;1;Powiat;;0204000;;1999-01-01;;G”RA;56-200;ul.Mickiewicza 1
G”RA;02;04;01;3;0;Gmina;Gmina miejsko-wiejska;0204013;;1994-01-01;;G”RA;56-200;ul.Mickiewicza 1
JEMIELNO;02;04;02;2;0;Gmina;Gmina wiejska;0204022;;1994-01-01;;JEMIELNO;56-209;Jemielno 81
NIECHL”W;02;04;03;2;0;Gmina;Gmina wiejska;0204032;;1994-01-01;;NIECHL”W;56-215;ul.G≥ogowska 31
W•SOSZ;02;04;04;3;0;Gmina;Gmina miejsko-wiejska;0204043;;1994-01-01;;W•SOSZ;56-210;Pl.Wolnoúci 17
jaworski;02;05;00;0;1;Powiat;;0205000;;1999-01-01;;JAWOR;59-400;ul.Wroc≥awska 26
